Sea-Level Rise and Storm Surges: Potential Impact on Cities by 2100,,,,,
"Detailed results from Table 6, CGD Working Paper: ""Climate Change and the Future Impacts of Storm-Surge Disasters in Developing Countries"", by Susmita Dasgupta, Benoit Laplante, Siobhan Murray and David Wheeler",,,,,
Paper available at http://www.cgdev.org/content/publications/detail/1422836/,,,,,
See p. 14 of the paper for detailed discussion of the results below.,,,,,
Basic assumptions: 1 meter sea-level rise; 10% increase in the intensity of a 1-in-100-year storm; UN medium population projections,,,,,
Rank,Country,City,Increase by 2100 in Population Exposed to Storm Surges,Cumulative % of Total Increase in Exposed Population,Global City Population Rank in 2000
Rank,Country,City,Inc_Pop,Inc_Pct,Pop_Rank
1,Philippines,Manila,"3,438,334",11.8,8
2,Egypt,Al-Iskandariyah (Alexandria),"2,723,464",21.2,18
3,Nigeria,Lagos,"2,121,263",28.5,2
4,Liberia,Monrovia,"1,751,428",34.5,61
5,Pakistan,Karachi,"1,417,639",39.4,6
6,Yemen,Aden,"1,235,473",43.6,132
7,Indonesia,Jakarta,"836,130",46.5,7
8,Egypt,Bur Sa'id (Port Said),"672,210",48.8,146
9,Bangladesh,Khulna,"635,950",51.0,56
10,India,Kolkata (Calcutta),"547,004",52.9,3
11,Thailand,Krung Thep (Bangkok),"546,157",54.8,13
12,Cote d'Ivoire,Abidjan,"543,928",56.6,25
13,Benin,Cotonou,"491,049",58.3,100
14,Bangladesh,Chittagong,"489,789",60.0,22
15,Viet Nam,Thanh Pho Ho Chi Minh (Saigon-Cholon),"433,176",61.5,16
16,Myanmar,Yangon,"384,381",62.8,17
17,Guinea,Conakry,"383,551",64.1,46
18,Angola,Luanda,"346,973",65.3,33
19,Brazil,Rio de Janeiro,"344,034",66.5,9
20,Senegal,Dakar,"299,405",67.5,40
21,Nigeria,Warri,"266,667",68.5,140
22,Somalia,Mogadishu,"235,670",69.3,71
23,Philippines,Taguig,"232,703",70.1,147
24,Nigeria,Port Harcourt,"222,714",70.8,84
25,Philippines,Kalookan,"212,853",71.6,74
26,Colombia,Barranquilla,"181,864",72.2,48
27,Tunisia,Tunis,"160,176",72.7,44
28,India,Chennai (Madras),"156,149",73.3,15
29,Djibouti,Djibouti,"154,831",73.8,134
30,Sudan,Bur Sudan,"153,567",74.3,168
31,Argentina,Buenos Aires,"150,940",74.9,5
32,Mozambique,Maputo,"137,977",75.3,27
33,Malaysia,Kelang,"132,405",75.8,119
34,Lao People's Dem Rep,Vientiane,"127,770",76.2,108
35,Guinea-Bissau,Bissau,"127,610",76.7,203
36,Philippines,Davao,"119,101",77.1,72
37,Peru,Lima,"117,741",77.5,12
38,Cameroon,Douala,"115,466",77.9,51
39,Yemen,Al-Hudaydah,"115,304",78.3,169
40,Tanzania,Dar es Salaam,"112,163",78.7,35
41,Mozambique,Beira,"111,202",79.1,152
42,Indonesia,Ujungpandang,"107,612",79.4,82
43,Philippines,Butuan,"102,901",79.8,211
44,Yemen,Al-Makalla,"97,202",80.1,292
45,Bangladesh,Bakerganj,"97,056",80.4,217
46,Ghana,Accra,"94,911",80.8,42
47,Morocco,Rabat,"93,405",81.1,54
48,Philippines,Malabon,"89,497",81.4,180
49,Morocco,Kenitra,"88,837",81.7,183
50,Philippines,Iloilo,"87,548",82.0,176
51,Morocco,Casablanca,"86,496",82.3,23
52,Nigeria,Okrika,"86,069",82.6,353
53,Argentina,La Plata,"84,097",82.9,121
54,Venezuela,Maracaibo,"82,628",83.2,43
55,Indonesia,Surabaya,"81,921",83.5,34
56,Madagascar,Mahajanga,"80,353",83.7,333
57,Nigeria,Bugama,"78,801",84.0,348
58,Mozambique,Quelimane,"77,646",84.3,276
59,Indonesia,Pontianak,"76,033",84.5,138
60,Philippines,Cotabato,"75,131",84.8,281
61,Brazil,Recife,"74,291",85.0,24
62,Philippines,Paranaque,"70,970",85.3,151
63,Colombia,Cartagena,"70,608",85.5,93
64,Indonesia,Tegal,"70,569",85.8,206
65,Sierra Leone,Freetown,"69,803",86.0,85
66,Indonesia,Semarang,"63,032",86.2,96
67,Brazil,Aracaju,"61,607",86.4,150
68,Brazil,Porto Alegre,"60,901",86.6,20
69,Viet Nam,Da Nang,"60,163",86.9,154
70,Brazil,Vitoria,"60,071",87.1,63
71,Malaysia,Kuala Terengganu,"59,098",87.3,221
72,Senegal,Saint-Louis,"56,398",87.5,302
73,Philippines,Zamboanga,"55,664",87.7,114
74,Philippines,San Jose,"54,858",87.8,370
75,Panama,Ciudad de Panama,"53,462",88.0,76
76,Philippines,Dagupan,"53,102",88.2,326
77,Congo,Pointe Noire,"52,798",88.4,131
78,Philippines,Bago,"50,653",88.6,309
79,Philippines,Quezon City,"49,798",88.7,38
80,Philippines,Roxas,"49,593",88.9,336
81,Egypt,"As-Suways (Suez, Sues)","48,735",89.1,158
82,Morocco,Agadir,"44,855",89.2,115
83,Philippines,Naga,"44,774",89.4,316
84,Philippines,Cadiz,"44,391",89.5,307
85,Gambia,Bathurst,"43,350",89.7,248
86,Malaysia,Kota Baharu,"42,387",89.8,230
87,Morocco,Tetouan,"41,198",90.0,187
88,Philippines,Tacloban,"40,206",90.1,265
89,Indonesia,Samarinda,"39,908",90.2,137
90,Angola,Lobito,"39,761",90.4,321
91,Dominican Rep,Santo Domingo,"39,705",90.5,21
92,Malaysia,Miri,"39,010",90.7,313
93,Viet Nam,Rach Gia,"38,741",90.8,255
94,Philippines,Cebu,"37,665",90.9,99
95,Philippines,Cagayan de Oro,"37,565",91.0,149
96,Brazil,Salvador,"37,435",91.2,26
97,"Korea, Rep",Seoul,"36,790",91.3,10
98,Brazil,Joao Pessoa,"36,150",91.4,91
99,Mexico,Acapulco (de Juarez),"36,118",91.5,110
100,Brazil,Santos,"35,859",91.7,68
101,Malaysia,Kuching,"35,810",91.8,295
102,Brazil,Natal,"35,570",91.9,83
103,Malaysia,Kuantan,"34,653",92.0,201
104,Venezuela,Barcelona,"34,527",92.2,190
105,China,Zhongshan,"33,996",92.3,66
106,Philippines,Valenzuela,"32,610",92.4,141
107,Indonesia,Medan,"32,529",92.5,45
108,Viet Nam,Thanh Hoa,"32,436",92.6,379
109,Mexico,Tampico,"31,630",92.7,194
110,Philippines,Navotas,"30,708",92.8,233
111,Indonesia,Pekalongan,"30,237",92.9,223
112,Iraq,Az-Zubayr,"29,314",93.0,294
113,Mozambique,Xai-Xai,"29,188",93.1,360
114,Argentina,Bahia Blanca,"28,374",93.2,202
115,Mexico,Ciudad del Carmen,"28,115",93.3,337
116,Bangladesh,Cox's Bazar,"28,100",93.4,376
117,Viet Nam,Hue,"27,968",93.5,212
118,Colombia,Buenaventura,"27,515",93.6,186
119,Brazil,Maceio,"27,196",93.7,88
120,Malaysia,Sandakan,"26,633",93.8,237
121,Philippines,Pagadian,"26,065",93.9,306
122,Indonesia,Pemalang,"25,456",94.0,366
123,Philippines,Lapu-Lapu,"24,861",94.1,239
124,Angola,Benguela,"24,586",94.1,329
125,India,Thane,"23,994",94.2,55
126,Mexico,Mazatlan,"23,941",94.3,184
127,Cote d'Ivoire,San-Pedro,"23,915",94.4,329
128,Philippines,San Carlos (Negros Occ.),"23,700",94.5,352
129,Brazil,Pelotas,"22,909",94.5,191
130,Philippines,Bacolod,"22,809",94.6,156
131,Tanzania,Mtwara,"22,506",94.7,325
132,Brazil,Rio Grande,"22,498",94.8,264
133,Philippines,Calbayog,"22,460",94.9,297
134,India,Kakinada,"21,808",94.9,174
135,Venezuela,Cumana,"21,706",95.0,210
136,Senegal,Mbour,"21,070",95.1,342
137,Philippines,San Fernando,"20,797",95.2,385
138,Venezuela,Puerto Cabello,"20,741",95.2,275
139,Malaysia,Bukit Mertajam,"20,368",95.3,243
140,Myanmar,Akyab,"20,244",95.4,284
141,Gabon,Libreville (incl. Peripherie),"20,114",95.4,127
142,Viet Nam,Nha Trang,"20,038",95.5,214
143,Mexico,Cancun,"19,935",95.6,165
144,Bangladesh,Chandpur,"19,742",95.6,347
145,Philippines,Toledo,"19,619",95.7,312
146,Tanzania,Tanga,"19,299",95.8,247
147,Ecuador,Machala,"18,835",95.8,242
